image,super_class,sub_class
Released_Data_NNDL_2025/train_images/train_images/4153.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/585.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3254.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3255.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4111.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2430.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2501.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6004.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4565.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2064.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1517.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1194.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1646.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6169.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4971.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2535.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5164.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1340.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5420.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1705.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/492.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2486.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3315.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3551.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4179.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2391.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6176.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2834.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5322.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/627.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1996.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1205.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2168.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2219.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1092.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3679.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3513.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3394.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/410.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1733.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6266.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2470.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/153.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2757.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/995.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2109.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3308.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3859.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1202.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3519.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1216.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/341.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/385.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3854.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5074.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1159.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4845.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2322.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5589.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1180.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/0.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6159.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3286.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6073.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3048.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5498.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1296.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4054.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5255.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4825.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3593.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1488.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1407.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5469.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6174.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/265.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/3212.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4433.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/598.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/4018.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5323.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/649.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1077.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1436.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1531.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/1859.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/6138.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/207.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/809.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/5014.jpg,dog,"Maltese dog, Maltese terrier, Maltese"
Released_Data_NNDL_2025/train_images/train_images/2365.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/328.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3985.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3405.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/1.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3819.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3304.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/4593.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5198.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5175.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/4218.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/1172.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5525.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5902.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/275.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5868.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3882.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/216.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/124.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/3486.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/210.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/5939.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/4229.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/230.jpg,bird,"oystercatcher, oyster catcher"
Released_Data_NNDL_2025/train_images/train_images/548.jpg,bird,"oystercatcher, oyster catcher"
